Staging/tblnIoNrXu0xn7UJA.csv,collection,id,airtable_id,belongs_to_collection
,The Hills Have Eyes (Original) Collection,267922.0,recCaIbL8JUWQJLLc,The Hills Have Eyes
,I Shrunk the Kids Collection,,recCbeikMhkQTB4aT,"""Honey, We Shrunk Ourselves"", Honey I Blew Up the Kid"
,Flower & Snake Collection,153629.0,recCdf36Sh3EaLuGd,
,Eberhofer Krimi Collection,340633.0,recCgwRLIDsal6B2A,
,The Comedians Of Comedy Collection,157626.0,recCj9x9uEjowu4vr,The Comedians of Comedy
,John Pinette Collection,129407.0,recClG7GDKAh2B1mh,
,Schoolgirl Report Collection,304809.0,recCmqQG7vjBTRxlT,
,Vi hade i alla fall tur med vädret Collection,172000.0,recCnTBMAsItzHrUN,
,Ace Ventura Collection,3167.0,recCnXyLsI2hrF6Yq,Ace Ventura Jr: Pet Detective
,Freeway Collection,355490.0,recCnjOYllET9YnSv,Freeway
,Per Fly trilogien (Samling),289288.0,recCo8F2JDEbZqNZD,"The Inheritance, The Bench, Manslaughter"
,Confessions Collection,133891.0,recCoXO1TazZKwdnw,
,The Sisterhood of the Traveling Pants Collection,17368.0,recCqI0fnfcMvrEyu,The Sisterhood of the Traveling Pants 2
,Death Race Original Collection,434533.0,recCtK1gfJJYwm8It,Death Race 2000
,Bachelor Party Collection,466318.0,recD0V7zx3ZIaB4iJ,"Bachelor Party 2: The Last Temptation, Bachelor Party"
,Half Past Dead Collection,43063.0,recD13xnyPSLIOZlk,"Half Past Dead 2, Half Past Dead"
,The 36th Chamber of Shaolin Collection,108125.0,recD14PsqU9Z3IlGF,The 36th Chamber of Shaolin
,Ted Collection,266672.0,recD3qKDVxal5SZwk,
,Ghost in the Shell Collection,23026.0,recD4P16vxWaVdLPW,"Ghost in the Shell 2.0, Ghost in the Shell 2: Innocence"
,Die Fritz Lang Indien-Edition,378025.0,recD72fbWAW8jUnH8,
,The Hangover Collection,86119.0,recD7GUvrKum7C7RQ,The Hangover Part III
,Hardbodies Collection,351231.0,recDBMysk8JGjItze,
,Xtro Collection,114915.0,recDC120QM1ygWuGy,
,Teen Wolf Collection,43066.0,recDCF0bZlpttzuX3,"Teen Wolf Too, Teen Wolf"
,I due carabinieri Collecion,444665.0,recDJ7VuTlahXZHw9,
,Tekken Collection,294172.0,recDLhHGyIRiqTiUZ,
